iter	Passed	Remaining
0	161	161711
1	163	81403
2	164	54581
3	165	41166
4	166	33143
5	167	27798
6	169	24006
7	170	21140
8	172	19026
9	174	17253
10	178	16005
11	179	14807
12	181	13742
13	182	12827
14	183	12031
15	184	11375
16	187	10841
17	189	10320
18	190	9856
19	192	9426
20	193	9024
21	194	8666
22	196	8331
23	197	8021
24	198	7754
25	200	7502
26	202	7305
27	204	7092
28	206	6920
29	207	6721
30	208	6532
31	210	6357
32	211	6191
33	212	6032
34	213	5886
35	214	5750
36	215	5618
37	217	5503
38	219	5407
39	221	5321
40	223	5238
41	225	5136
42	226	5035
43	227	4946
44	228	4855
45	229	4768
46	232	4719
47	234	4647
48	235	4569
49	236	4494
50	237	4423
51	238	4354
52	240	4290
53	241	4226
54	242	4161
55	243	4098
56	244	4038
57	245	3979
58	246	3936
59	247	3881
60	248	3830
61	250	3788
62	251	3743
63	252	3696
64	253	3649
65	254	3602
66	255	3563
67	256	3514
68	257	3472
69	258	3436
70	259	3396
71	262	3378
72	263	3345
73	264	3311
74	266	3281
75	267	3250
76	269	3225
77	270	3194
78	271	3160
79	272	3128
80	272	3096
81	273	3065
82	275	3047
83	277	3022
84	277	2990
85	278	2963
86	279	2935
87	280	2908
88	281	2882
89	282	2859
90	283	2836
91	285	2814
92	286	2790
93	287	2768
94	288	2746
95	290	2730
96	291	2710
97	292	2689
98	293	2674
99	295	2657
100	296	2640
101	297	2617
102	298	2598
103	299	2580
104	300	2561
105	301	2544
106	302	2526
107	303	2508
108	305	2497
109	306	2481
110	307	2465
111	309	2453
112	310	2439
113	311	2424
114	312	2408
115	313	2391
116	314	2375
117	315	2359
118	316	2342
119	317	2326
120	319	2323
121	321	2312
122	321	2295
123	323	2283
124	324	2270
125	325	2256
126	326	2242
127	326	2227
128	328	2214
129	329	2201
130	329	2188
131	331	2178
132	333	2171
133	334	2161
134	335	2149
135	337	2142
136	338	2133
137	339	2121
138	340	2109
139	341	2098
140	342	2086
141	343	2074
142	344	2062
143	345	2052
144	346	2041
145	347	2030
146	348	2023
147	349	2014
148	351	2006
149	352	1996
150	353	1988
151	354	1977
152	355	1967
153	356	1957
154	357	1948
155	358	1938
156	359	1928
157	360	1918
158	360	1909
159	363	1907
160	364	1899
161	366	1893
162	367	1885
163	368	1877
164	369	1869
165	370	1861
166	371	1852
167	372	1844
168	373	1836
169	374	1828
170	400	1939
171	401	1935
172	404	1931
173	405	1924
174	406	1917
175	410	1920
176	412	1918
177	414	1913
178	415	1906
179	417	1902
180	418	1892
181	419	1884
182	420	1878
183	427	1895
184	430	1896
185	432	1891
186	433	1885
187	435	1879
188	437	1877
189	440	1878
190	442	1873
191	443	1868
192	445	1864
193	447	1858
194	449	1855
195	451	1850
196	452	1844
197	456	1847
198	457	1843
199	465	1862
200	467	1856
201	468	1850
202	472	1855
203	475	1856
204	477	1850
205	479	1847
206	480	1842
207	483	1840
208	484	1835
209	487	1835
210	492	1842
211	499	1856
212	501	1854
213	504	1854
214	506	1850
215	508	1845
216	509	1839
217	511	1834
218	517	1845
219	521	1850
220	523	1845
221	524	1839
222	527	1837
223	530	1837
224	531	1832
225	534	1829
226	537	1829
227	538	1823
228	539	1817
229	541	1811
230	542	1806
231	545	1806
232	547	1802
233	549	1800
234	552	1798
235	554	1795
236	556	1790
237	557	1785
238	563	1793
239	564	1787
240	565	1782
241	568	1779
242	569	1774
243	570	1768
244	572	1764
245	574	1761
246	578	1762
247	580	1759
248	582	1756
249	583	1750
250	584	1745
251	586	1740
252	587	1736
253	591	1736
254	593	1735
255	595	1730
256	596	1725
257	598	1720
258	600	1717
259	601	1711
260	604	1710
261	607	1711
262	613	1718
263	616	1718
264	625	1735
265	627	1732
266	634	1741
267	639	1747
268	641	1743
269	645	1746
270	649	1747
271	653	1749
272	655	1745
273	657	1741
274	658	1736
275	660	1732
276	662	1728
277	664	1724
278	665	1720
279	667	1715
280	670	1714
281	671	1710
282	673	1706
283	674	1701
284	676	1698
285	679	1695
286	680	1691
287	682	1687
288	684	1683
289	686	1680
290	688	1678
291	690	1674
292	692	1671
293	694	1667
294	696	1663
295	698	1662
296	701	1659
297	702	1655
298	704	1652
299	708	1652
300	709	1648
301	711	1645
302	714	1643
303	716	1639
304	717	1635
305	719	1631
306	720	1627
307	724	1626
308	725	1622
309	727	1618
310	729	1615
311	731	1613
312	732	1608
313	734	1604
314	738	1606
315	740	1603
316	742	1600
317	744	1597
318	746	1593
319	747	1588
320	748	1584
321	750	1579
322	755	1583
323	760	1586
324	761	1582
325	763	1578
326	765	1574
327	767	1572
328	769	1568
329	770	1564
330	772	1561
331	774	1558
332	776	1554
333	777	1550
334	779	1546
335	782	1547
336	784	1543
337	787	1542
338	789	1540
339	791	1536
340	793	1533
341	795	1530
342	798	1529
343	800	1525
344	801	1521
345	803	1518
346	805	1514
347	806	1510
348	808	1508
349	811	1507
350	813	1504
351	815	1501
352	817	1498
353	819	1494
354	820	1490
355	822	1487
356	823	1483
357	825	1479
358	832	1486
359	835	1484
360	839	1485
361	842	1484
362	843	1481
363	845	1477
364	847	1475
365	849	1471
366	851	1468
367	853	1465
368	855	1462
369	859	1463
370	861	1460
371	863	1457
372	864	1453
373	867	1451
374	868	1448
375	870	1444
376	873	1443
377	875	1439
378	877	1437
379	878	1433
380	880	1429
381	881	1425
382	882	1422
383	885	1419
384	887	1418
385	890	1416
386	893	1414
387	895	1412
388	896	1408
389	898	1404
390	899	1401
391	905	1404
392	906	1400
393	909	1398
394	911	1395
395	912	1392
396	914	1389
397	918	1389
398	920	1386
399	922	1383
400	923	1380
401	925	1376
402	926	1373
403	928	1370
404	930	1367
405	932	1364
406	934	1361
407	936	1359
408	939	1357
409	940	1353
410	942	1350
411	944	1347
412	945	1343
413	948	1342
414	951	1341
415	954	1339
416	955	1336
417	958	1334
418	960	1331
419	961	1327
420	963	1325
421	965	1321
422	968	1321
423	970	1318
424	972	1316
425	974	1312
426	975	1309
427	978	1307
428	981	1306
429	983	1303
430	985	1300
431	986	1297
432	988	1294
433	995	1297
434	999	1298
435	1003	1297
436	1004	1294
437	1012	1299
438	1014	1296
439	1016	1293
440	1019	1292
441	1021	1288
442	1022	1285
443	1030	1289
444	1031	1286
445	1033	1284
446	1035	1280
447	1038	1279
448	1041	1277
449	1042	1274
450	1044	1271
451	1045	1267
452	1047	1264
453	1048	1261
454	1054	1262
455	1055	1259
456	1057	1256
457	1059	1253
458	1061	1250
459	1062	1247
460	1065	1245
461	1067	1243
462	1069	1240
463	1073	1240
464	1075	1236
465	1076	1233
466	1078	1230
467	1079	1227
468	1082	1225
469	1085	1224
470	1087	1221
471	1089	1218
472	1091	1216
473	1093	1213
474	1095	1210
475	1098	1208
476	1099	1205
477	1102	1203
478	1103	1200
479	1105	1198
480	1107	1194
481	1109	1192
482	1112	1190
483	1114	1188
484	1116	1185
485	1117	1182
486	1119	1178
487	1120	1175
488	1122	1172
489	1123	1169
490	1125	1167
491	1128	1165
492	1131	1163
493	1133	1160
494	1134	1157
495	1136	1154
496	1137	1151
497	1141	1150
498	1147	1152
499	1151	1151
500	1164	1159
501	1168	1158
502	1173	1159
503	1178	1159
504	1183	1159
505	1191	1163
506	1193	1161
507	1195	1158
508	1197	1154
509	1199	1151
510	1202	1150
511	1204	1148
512	1206	1145
513	1208	1142
514	1210	1139
515	1211	1136
516	1213	1133
517	1221	1136
518	1225	1135
519	1227	1133
520	1229	1130
521	1233	1129
522	1237	1128
523	1238	1125
524	1240	1122
525	1242	1119
526	1246	1118
527	1248	1115
528	1249	1112
529	1251	1109
530	1254	1108
531	1256	1105
532	1257	1102
533	1259	1099
534	1262	1097
535	1265	1095
536	1266	1092
537	1268	1089
538	1271	1087
539	1274	1085
540	1277	1083
541	1279	1080
542	1283	1080
543	1287	1079
544	1288	1075
545	1290	1073
546	1293	1070
547	1294	1068
548	1296	1065
549	1298	1062
550	1301	1060
551	1303	1057
552	1305	1055
553	1315	1059
554	1317	1056
555	1319	1053
556	1320	1050
557	1322	1047
558	1325	1045
559	1327	1042
560	1329	1040
561	1330	1036
562	1332	1034
